Species,BodyMass,Longevity
Puffinus lherminieri,169,19
Sturnella militaris,44.1,NA
Tringa semipalmata,263.13,12.58
Chordeiles acutipennis,49.9,NA
Piranga olivacea,28.83,11.92
Tringa melanoleuca/flavipes,NA,NA
Rupornis magnirostris,276,NA
Limosa haemastica,255.5,NA
Haliaeetus leucocephalus,4740,48
Porzana carolina,79.65,NA
Calidris melanotos,85,5.92
Chen rossii,1597.5,22.5
Chaetura vauxi,18.23,5.1
Acanthis hornemanni,14.3,6.8
Stercorarius pomarinus,694,NA
Ardenna grisea,NA,NA
Platalea ajaja,1500,28
Hydrocoloeus minutus,118.5,20.92
Chroicocephalus ridibundus,271.67,63
Haematopus palliatus,560,43.33
Hirundo rustica,19,16
Bucephala clangula,895.93,18.42
Rallus elegans,360.5,NA
Pilherodius pileatus,583.5,NA
Tinamus major,1013.5,NA
